F;A;M;Z;element;J;decay mode;% branch;excitation energy [MeV];Q [MeV];T½;abundance;atomic mass [MeV];uncertain in mass [MeV];S;date;T½ [s]
;33;;10;Ne;;N;;0.0000;0.647;180 NS LT;;45.9970;0.5960;S;201105;1.80E-07
;34;;10;Ne;0+;BN;;0.0000;20.160;60 NS GT;;52.8420;0.5130;S;200610;6.00E-08
;34;;10;Ne;0+;B-;;0.0000;20.360;60 NS GT;;52.8420;0.5130;S;200610;6.00E-08
;18;;11;Na;1-;P;100.00;0.0000;0.440;1.3E-21 S 4;;25.0400;0.1700;;08MU13;1.30E-21
;19;;11;Na;(5/2+);P;;0.0000;0.321;40 NS LT;;12.9270;0.0120;;06SU12;4.00E-08
;20;;11;Na;2+;EC;100.00;0.0000;13.890;447.9 MS 23;;6.8500;0.0010;;199810;4.48E-01
;20;;11;Na;2+;EA;20.05;0.0000;9.157;447.9 MS 23;;6.8500;0.0010;;199810;4.48E-01
;21;;11;Na;3/2+;EC;100.00;0.0000;3.548;22.49 S 4;;-2.1840;0.0000;;200412;2.25E+01
;22;;11;Na;3+;EC;100.00;0.0000;2.842;2.6027 Y 10;;-5.1810;0.0000;;200512;8.21E+07
;23;;11;Na;3/2+;;;0.0000;0.000;STABLE;100%;-9.5299;0.0000;;200703;0.00E+00
;24;;11;Na;4+;B-;100.00;0.0000;5.515;14.997 H 12;;-8.4170;0.0000;;200710;5.40E+04
;24;M;11;Na;1+;IT;99.95;0.4722;0.472;20.18 MS 10;;-7.9448;0.0000;;200710;2.02E-02
;24;M;11;Na;1+;B-;@  0.05;0.4722;5.987;20.18 MS 10;;-7.9448;0.0000;;200710;2.02E-02
;25;;11;Na;5/2+;B-;100.00;0.0000;3.835;59.1 S 6;;-9.3570;0.0010;;200908;5.91E+01
;26;;11;Na;3+;B-;100.00;0.0000;9.352;1.07128 S 25;;-6.8600;0.0030;;05GR07;1.07E+00
;27;;11;Na;5/2+;B-;100.00;0.0000;9.069;301 MS 6;;-5.5170;0.0030;;200906;3.01E-01
;27;;11;Na;5/2+;BN;0.13;0.0000;2.626;301 MS 6;;-5.5170;0.0030;;200906;3.01E-01
;28;;11;Na;1+;B-;100.00;0.0000;14.029;30.5 MS 4;;-0.9880;0.0100;;200906;3.05E-02
;28;;11;Na;1+;BN;0.58;0.0000;5.526;30.5 MS 4;;-0.9880;0.0100;;200906;3.05E-02
;29;;11;Na;3/2+;B-;100.00;0.0000;13.284;44.9 MS 12;;2.6690;0.0120;;200804;4.49E-02
;29;;11;Na;3/2+;BN;21.50;0.0000;9.612;44.9 MS 12;;2.6690;0.0120;;200804;4.49E-02
;30;;11;Na;2+;B-;100.00;0.0000;17.272;48 MS 2;;8.3740;0.0230;;201009;4.80E-02
;30;;11;Na;2+;BN;30.00;0.0000;10.909;48 MS 2;;8.3740;0.0230;;201009;4.80E-02
;30;;11;Na;2+;B2N;1.15;0.0000;17.272;48 MS 2;;8.3740;0.0230;;201009;4.80E-02
;30;;11;Na;2+;BA;5.5E-5;0.0000;0.000;48 MS 2;;8.3740;0.0230;;201009;4.80E-02
;31;;11;Na;3/2(+);B-;100.00;0.0000;15.872;17.0 MS 4;;12.5390;0.1020;;200611;1.70E-02
;31;;11;Na;3/2(+);BN;37.00;0.0000;13.494;17.0 MS 4;;12.5390;0.1020;;200611;1.70E-02
;31;;11;Na;3/2(+);B2N;0.87;0.0000;15.872;17.0 MS 4;;12.5390;0.1020;;200611;1.70E-02
;31;;11;Na;3/2(+);B3N;<  0.05;0.0000;15.872;17.0 MS 4;;12.5390;0.1020;;200611;1.70E-02
;32;;11;Na;(3-,4-);B-;100.00;0.0000;20.019;13.2 MS 4;;18.8090;0.1200;;200802;1.32E-02
;32;;11;Na;(3-,4-);BN;24.00;0.0000;14.211;13.2 MS 4;;18.8090;0.1200;;200802;1.32E-02
;32;;11;Na;(3-,4-);B2N;8.00;0.0000;20.019;13.2 MS 4;;18.8090;0.1200;;200802;1.32E-02
;33;;11;Na;(3/2+);B-;100.00;0.0000;19.995;8.0 MS 4;;23.9670;0.5960;S;201105;8.00E-03
;33;;11;Na;(3/2+);BN;47.00;0.0000;17.773;8.0 MS 4;;23.9670;0.5960;S;201105;8.00E-03
;33;;11;Na;(3/2+);B2N;13.00;0.0000;19.995;8.0 MS 4;;23.9670;0.5960;S;201105;8.00E-03
;34;;11;Na;;B-;100.00;0.0000;23.952;5.5 MS 10;;31.2890;0.5030;S;200802;5.50E-03
;34;;11;Na;;B2N;@ 50.00;0.0000;23.952;5.5 MS 10;;31.2890;0.5030;S;200802;5.50E-03
;34;;11;Na;;BN;@ 15.00;0.0000;19.795;5.5 MS 10;;31.2890;0.5030;S;200802;5.50E-03
;35;;11;Na;;B-;100.00;0.0000;23.430;1.5 MS 5;;37.8400;0.5860;S;200802;1.50E-03
;35;;11;Na;;BN;;0.0000;22.702;1.5 MS 5;;37.8400;0.5860;S;200802;1.50E-03
;36;;11;Na;;N;;0.0000;0.300;180 NS LT;;45.9120;0.5940;S;200711;1.80E-07
;37;;11;Na;;BN;;0.0000;25.779;60 NS GT;;53.1430;0.6050;S;200610;6.00E-08
;37;;11;Na;;B-;;0.0000;26.026;60 NS GT;;53.1430;0.6050;S;200610;6.00E-08
;19;;12;Mg;;2P;100.00;;2.001;4.0 PS 15;;31.8280;0.0500;;07MU15;4.00E-12
;20;;12;Mg;0+;EC;100.00;0.0000;10.723;90.8 MS 24;;17.5580;0.0270;;199810;9.08E-02
;20;;12;Mg;0+;EP;@ 27.00;0.0000;8.530;90.8 MS 24;;17.5580;0.0270;;199810;9.08E-02
;21;;12;Mg;5/2+;EC;100.00;0.0000;13.095;122 MS 3;;10.9120;0.0160;;200412;1.22E-01
;21;;12;Mg;5/2+;EP;32.60;0.0000;10.663;122 MS 3;;10.9120;0.0160;;200412;1.22E-01
;21;;12;Mg;5/2+;EA;<  0.50;0.0000;6.535;122 MS 3;;10.9120;0.0160;;200412;1.22E-01
;22;;12;Mg;0+;EC;100.00;0.0000;4.785;3.8755 S 12;;-0.3990;0.0000;;200512;3.88E+00
;23;;12;Mg;3/2+;EC;100.00;0.0000;4.056;11.317 S 11;;-5.4730;0.0000;;200703;1.13E+01
!;23;M;12;Mg;(17/2+);P;<100.00;9.5960;2.016;15 FS;;4.1230;0.0000;;200703;1.50E-14
;24;;12;Mg;0+;;;0.0000;0.000;STABLE;78.99% 4;-13.9330;0.0000;;200710;0.00E+00
;25;;12;Mg;5/2+;;;0.0000;0.000;STABLE;10.00% 1;-13.1920;0.0000;;200908;0.00E+00
;26;;12;Mg;0+;;;0.0000;0.000;STABLE;11.01% 3;-16.2140;0.0000;;200004;0.00E+00
;27;;12;Mg;1/2+;B-;100.00;0.0000;2.610;9.458 M 12;;-14.5860;0.0000;;201108;5.67E+02
;28;;12;Mg;0+;B-;100.00;0.0000;1.832;20.915 H 9;;-15.0180;0.0020;;200906;7.53E+04
;29;;12;Mg;3/2+;B-;100.00;0.0000;7.596;1.30 S 12;;-10.6020;0.0110;;200910;1.30E+00
;30;;12;Mg;0+;B-;100.00;0.0000;6.962;335 MS 17;;-8.8920;0.0130;;201009;3.35E-01
;31;;12;Mg;1/2(+);B-;100.00;0.0000;11.736;232 MS 15;;-3.1900;0.0160;;200711;2.32E-01
;31;;12;Mg;1/2(+);BN;1.70;0.0000;4.584;232 MS 15;;-3.1900;0.0160;;200711;2.32E-01
;32;;12;Mg;0+;B-;100.00;0.0000;10.107;86 MS 5;;-0.9110;0.0170;;04GR08;8.60E-02
;32;;12;Mg;0+;BN;5.50;0.0000;5.928;86 MS 5;;-0.9110;0.0170;;04GR08;8.60E-02
;33;;12;Mg;3/2-;B-;100.00;0.0000;13.423;90.5 MS 16;;4.9470;0.0220;;201105;9.05E-02
;33;;12;Mg;3/2-;BN;14.00;0.0000;7.885;90.5 MS 16;;4.9470;0.0220;;201105;9.05E-02
;34;;12;Mg;0+;B-;100.00;0.0000;11.741;20 MS 10;;8.5600;0.0900;;200711;2.00E-02
;34;;12;Mg;0+;BN;;0.0000;9.267;20 MS 10;;8.5600;0.0900;;200711;2.00E-02
;35;;12;Mg;(7/2-);B-;100.00;0.0000;16.282;70 MS 40;;15.6390;0.1790;;200802;7.00E-02
;35;;12;Mg;(7/2-);BN;52.00;0.0000;11.013;70 MS 40;;15.6390;0.1790;;200802;7.00E-02
;36;;12;Mg;0+;B-;100.00;0.0000;15.642;3.9 MS 13;;20.3800;0.4600;;200710;3.90E-03
;36;;12;Mg;0+;BN;;0.0000;13.483;3.9 MS 13;;20.3800;0.4600;;200710;3.90E-03
;37;;12;Mg;(7/2-);B-;100.00;0.0000;19.303;260 NS GT;;28.2890;0.5030;S;200103;2.60E-07
;37;;12;Mg;(7/2-);BN;;0.0000;15.396;260 NS GT;;28.2890;0.5030;S;200103;2.60E-07
;38;;12;Mg;0+;B-;;0.0000;18.946;260 NS GT;;34.0740;0.5030;S;200802;2.60E-07
;38;;12;Mg;0+;BN;;0.0000;16.979;260 NS GT;;34.0740;0.5030;S;200802;2.60E-07
;39;;12;Mg;;N;;0.0000;0.500;180 NS LT;;42.2750;0.5130;S;200711;1.80E-07
;40;;12;Mg;0+;B-;;0.0000;20.940;170 NS GT;;48.6050;0.5030;S;200711;1.70E-07
;40;;12;Mg;0+;BN;;0.0000;20.768;170 NS GT;;48.6050;0.5030;S;200711;1.70E-07
;21;;13;Al;(5/2+);P;;0.0000;1.260;35 NS LT;;27.1340;0.5960;S;200412;3.50E-08
;22;;13;Al;4+;EC;100.00;0.0000;18.580;91.1 MS 5;;18.2010;0.4010;S;06AC04;9.11E-02
;22;;13;Al;4+;EP;54.50;0.0000;13.078;91.1 MS 5;;18.2010;0.4010;S;06AC04;9.11E-02
;22;;13;Al;4+;E2P;1.10;0.0000;0.000;91.1 MS 5;;18.2010;0.4010;S;06AC04;9.11E-02
;22;;13;Al;4+;EA;0.04;0.0000;0.000;91.1 MS 5;;18.2010;0.4010;S;200512;9.11E-02
;23;;13;Al;5/2+;EC;100.00;0.0000;12.243;446 MS 6;;6.7480;0.0000;;06IA03;4.46E-01
;23;;13;Al;5/2+;EP;1.22;0.0000;4.663;446 MS 6;;6.7480;0.0000;;11SA15;4.46E-01
!;23;M;13;Al;1/2+;P;100.00;0.5500;0.428;6.2 AS;;7.2980;0.0000;;200703;6.20E-18
!;23;M;13;Al;1/2+;IT;8.5E-7;0.5500;0.550;6.2 AS;;7.2980;0.0000;;200703;6.20E-18
;24;;13;Al;4+;EC;100.00;0.0000;13.877;2.053 S 4;;-0.0480;0.0000;;200710;2.05E+00
;24;;13;Al;4+;EP;1.6E-3;0.0000;2.184;2.053 S 4;;-0.0480;0.0000;;200710;2.05E+00
;24;;13;Al;4+;EA;0.04;0.0000;0.000;2.053 S 4;;-0.0480;0.0000;;200710;2.05E+00
;24;M;13;Al;1+;IT;82.50;0.4258;0.426;130 MS 3;;0.3778;0.0000;;200710;1.30E-01
;24;M;13;Al;1+;EC;17.50;0.4258;14.303;130 MS 3;;0.3778;0.0000;;200710;1.30E-01
;24;M;13;Al;1+;EA;0.03;0.4258;0.000;130 MS 3;;0.3778;0.0000;;200710;1.30E-01
;25;;13;Al;5/2+;EC;100.00;0.0000;4.277;7.183 S 12;;-8.9160;0.0000;;200908;7.18E+00
;26;;13;Al;5+;EC;100.00;0.0000;4.004;7.17E+5 Y 24;;-12.2100;0.0000;;200004;2.26E+13
;26;M;13;Al;0+;EC;100.00;0.2283;4.232;6.3464 S 7;;-11.9817;0.0000;;11FI01;6.35E+00
;27;;13;Al;5/2+;;;0.0000;0.000;STABLE;100%;-17.1960;0.0000;;201108;0.00E+00
;28;;13;Al;3+;B-;100.00;0.0000;4.642;2.2414 M 12;;-16.8500;0.0000;;200103;1.34E+02
;29;;13;Al;5/2+;B-;100.00;0.0000;3.680;6.56 M 6;;-18.2150;0.0010;;200910;3.94E+02
;30;;13;Al;3+;B-;100.00;0.0000;8.561;3.62 S 6;;-15.8720;0.0140;;201009;3.62E+00
;31;;13;Al;(3/2,5/2)+;B-;100.00;0.0000;7.995;644 MS 25;;-14.9540;0.0200;;200103;6.44E-01
;32;;13;Al;1+;B-;100.00;0.0000;13.019;33.0 MS 2;;-11.0610;0.0850;;200809;3.30E-02
;32;;13;Al;1+;BN;0.70;0.0000;3.816;33.0 MS 2;;-11.0610;0.0850;;200809;3.30E-02
!;32;M;13;Al;(4+);IT;100.00;0.9566;0.957;200 NS 20;;-10.1044;0.0850;;200809;2.00E-07
;33;;13;Al;(5/2)+;B-;100.00;0.0000;11.963;41.7 MS 2;;-8.4370;0.0680;;201105;4.17E-02
;33;;13;Al;(5/2)+;BN;8.50;0.0000;7.480;41.7 MS 2;;-8.4370;0.0680;;201105;4.17E-02
;34;;13;Al;;B-;100.00;0.0000;17.024;42 MS 6;;-3.0470;0.0590;;200103;4.20E-02
;34;;13;Al;;BN;27.00;0.0000;9.489;42 MS 6;;-3.0470;0.0590;;200103;4.20E-02
;35;;13;Al;;B-;100.00;0.0000;14.230;37.2 MS 8;;-0.2190;0.0690;;XUNDL;3.72E-02
;35;;13;Al;;BN;38.00;0.0000;11.755;37.2 MS 8;;-0.2190;0.0690;;XUNDL;3.72E-02
;36;;13;Al;;B-;100.00;0.0000;18.264;90 MS 40;;5.9500;0.0990;;200103;9.00E-02
;36;;13;Al;;BN;< 31.00;0.0000;12.071;90 MS 40;;5.9500;0.0990;;200103;9.00E-02
;37;;13;Al;;B-;100.00;0.0000;16.526;10.7 MS 13;;9.8090;0.1200;;200103;1.07E-02
;38;;13;Al;;B-;;0.0000;20.118;7.6 MS 6;;16.2090;0.2490;;200802;7.60E-03
;38;;13;Al;;BN;;0.0000;14.559;7.6 MS 6;;16.2090;0.2490;;200802;7.60E-03
;39;;13;Al;;B-;;0.0000;19.468;7.6 MS 16;;20.9960;0.6330;S;201104;7.60E-03
;39;;13;Al;;BN;;0.0000;17.392;7.6 MS 16;;20.9960;0.6330;S;201104;7.60E-03
;40;;13;Al;;B-;;0.0000;23.828;260 NS GT;;27.9730;0.6990;S;200408;2.60E-07
;40;;13;Al;;BN;;0.0000;19.296;260 NS GT;;27.9730;0.6990;S;200408;2.60E-07
;41;;13;Al;;B-;;0.0000;22.142;260 NS GT;;33.8880;0.8010;S;200201;2.60E-07
;42;;13;Al;;B-;;0.0000;25.243;170 NS GT;;41.4510;0.9040;S;200711;1.70E-07
;42;;13;Al;;BN;;0.0000;22.044;170 NS GT;;41.4510;0.9040;S;200711;1.70E-07
;43;;13;Al;;B-;;0.0000;0.000;170 NS GT;;48.4280;0.9040;S;200711;1.70E-07
;43;;13;Al;;BN;;0.0000;0.000;170 NS GT;;48.4280;0.9040;S;200711;1.70E-07
;22;;14;Si;0+;EC;100.00;0.0000;13.982;29 MS 2;;33.0030;0.4010;S;200512;2.90E-02
;22;;14;Si;0+;EP;32.00;0.0000;13.965;29 MS 2;;33.0030;0.4010;S;200512;2.90E-02
;23;;14;Si;(5/2)+;EC;100.00;0.0000;17.002;42.3 MS 4;;23.0730;0.4010;S;200703;4.23E-02
;23;;14;Si;(5/2)+;EP;71.00;0.0000;16.880;42.3 MS 4;;23.0730;0.4010;S;200703;4.23E-02
;23;;14;Si;(5/2)+;E2P;3.60;0.0000;0.000;42.3 MS 4;;23.0730;0.4010;S;200703;4.23E-02
;24;;14;Si;0+;EC;100.00;0.0000;10.812;140.5 MS 15;;10.7540;0.0190;;09IC06;1.41E-01
;24;;14;Si;0+;EP;45.00;0.0000;8.939;140.5 MS 15;;10.7540;0.0190;;09IC06;1.41E-01
;25;;14;Si;5/2+;EC;100.00;0.0000;12.740;220 MS 3;;3.8260;0.0100;;200908;2.20E-01
;25;;14;Si;5/2+;EP;35.00;0.0000;10.469;220 MS 3;;3.8260;0.0100;;200908;2.20E-01
;26;;14;Si;0+;EC;100.00;0.0000;5.066;2.229 S 3;;-7.1400;0.0000;;08MA39;2.23E+00
;27;;14;Si;5/2+;EC;100.00;0.0000;4.812;4.15 S 4;;-12.3840;0.0000;;201108;4.15E+00
;28;;14;Si;0+;;;0.0000;0.000;STABLE;92.223% 19;-21.4928;0.0000;;200103;0.00E+00
;29;;14;Si;1/2+;;;0.0000;0.000;STABLE;4.685% 8;-21.8951;0.0000;;200103;0.00E+00
;30;;14;Si;0+;;;0.0000;0.000;STABLE;3.092% 11;-24.4320;0.0000;;201009;0.00E+00
;31;;14;Si;3/2+;B-;100.00;0.0000;1.492;157.3 M 3;;-22.9490;0.0000;;200103;9.44E+03
;32;;14;Si;0+;B-;100.00;0.0000;0.224;153 Y 19;;-24.0770;0.0000;;200602;4.83E+09
;33;;14;Si;3/2+;B-;100.00;0.0000;5.845;6.11 S 21;;-20.5140;0.0000;;201105;6.11E+00
;34;;14;Si;0+;B-;100.00;0.0000;4.601;2.77 S 20;;-19.9560;0.0140;;200103;2.77E+00
;35;;14;Si;;B-;100.00;0.0000;10.497;0.78 S 12;;-14.3600;0.0380;;200103;7.80E-01
;35;;14;Si;;BN;<  5.00;0.0000;10.497;0.78 S 12;;-14.3600;0.0380;;200103;7.80E-01
;36;;14;Si;0+;B-;100.00;0.0000;7.768;0.45 S 6;;-12.4170;0.0560;;200103;4.50E-01
;36;;14;Si;0+;BN;< 10.00;0.0000;4.304;0.45 S 6;;-12.4170;0.0560;;200103;4.50E-01
;37;;14;Si;(7/2-);B-;100.00;0.0000;12.414;90 MS 60;;-6.5940;0.0820;;200103;9.00E-02
;37;;14;Si;(7/2-);BN;17.00;0.0000;5.600;90 MS 60;;-6.5940;0.0820;;200103;9.00E-02
;38;;14;Si;0+;B-;;0.0000;10.691;1 US GT;;-4.1700;0.0690;;200802;1.00E-06
;38;;14;Si;0+;BN;;0.0000;6.856;1 US GT;;-4.1700;0.0690;;200802;1.00E-06
;39;;14;Si;;B-;;0.0000;14.802;47.5 MS 20;;2.3200;0.0900;;200602;4.75E-02
;39;;14;Si;;BN;;0.0000;8.615;47.5 MS 20;;2.3200;0.0900;;200602;4.75E-02
;40;;14;Si;0+;B-;;0.0000;13.574;33.0 MS 10;;5.4290;0.2300;;200612;3.30E-02
;40;;14;Si;0+;BN;;0.0000;10.269;33.0 MS 10;;5.4290;0.2300;;200612;3.30E-02
;41;;14;Si;;B-;;0.0000;18.839;20.0 MS 25;;12.1190;0.3690;;04GR28;2.00E-02
;41;;14;Si;;BN;?;0.0000;13.598;20.0 MS 25;;12.1190;0.3690;;04GR28;2.00E-02
;42;;14;Si;0+;B-;100.00;0.0000;17.495;12.5 MS 35;;16.5620;0.5030;S;200612;1.25E-02
;42;;14;Si;0+;BN;;0.0000;15.639;12.5 MS 35;;16.5620;0.5030;S;200612;1.25E-02
;43;;14;Si;;B-;;0.0000;20.931;60 NS GT;;23.1010;0.8010;S;200610;6.00E-08
;43;;14;Si;;BN;;0.0000;17.686;60 NS GT;;23.1010;0.8010;S;200610;6.00E-08
;44;;14;Si;0+;B-;;0.0000;20.744;360 NS GT;;28.5130;0.8010;S;200710;3.60E-07
;44;;14;Si;0+;BN;;0.0000;19.007;360 NS GT;;28.5130;0.8010;S;200710;3.60E-07
;45;;14;Si;;;;;0.000;;;37.2130;0.9040;S;;0.00E+00
;24;;15;P;(1+);EC;?;0.0000;21.242;;;32.8260;0.5030;S;;0.00E+00
;24;;15;P;(1+);P;?;0.0000;0.936;;;32.8260;0.5030;S;;0.00E+00
;25;;15;P;(1/2+);P;100.00;0.0000;0.828;30 NS LT;;19.7380;0.4010;S;200908;3.00E-08
;26;;15;P;(3+);EC;100.00;0.0000;18.118;43.7 MS 6;;10.9730;0.1960;S;04TH09;4.37E-02
;26;;15;P;(3+);EP;;0.0000;12.600;43.7 MS 6;;10.9730;0.1960;S;04TH09;4.37E-02
;27;;15;P;1/2+;EC;100.00;0.0000;11.667;260 MS 80;;-0.7150;0.0260;;201108;2.60E-01
;27;;15;P;1/2+;EP;0.07;0.0000;4.204;260 MS 80;;-0.7150;0.0260;;201108;2.60E-01
;28;;15;P;3+;EC;100.00;0.0000;14.334;270.3 MS 5;;-7.1490;0.0010;;200103;2.70E-01
;28;;15;P;3+;EP;1.3E-3;0.0000;2.749;270.3 MS 5;;-7.1490;0.0010;;200103;2.70E-01
;28;;15;P;3+;EA;8.6E-4;0.0000;4.347;270.3 MS 5;;-7.1490;0.0010;;200103;2.70E-01
;29;;15;P;1/2+;EC;100.00;0.0000;4.942;4.142 S 15;;-16.9520;0.0000;;200103;4.14E+00
;30;;15;P;1+;EC;100.00;0.0000;4.232;2.498 M 4;;-20.2000;0.0000;;201009;1.50E+02
;31;;15;P;1/2+;;;0.0000;0.000;STABLE;100%;-24.4405;0.0000;;200103;0.00E+00
;32;;15;P;1+;B-;100.00;0.0000;1.710;14.262 D 14;;-24.3040;0.0000;;200103;1.23E+06
;33;;15;P;1/2+;B-;100.00;0.0000;0.249;25.35 D 11;;-26.3370;0.0010;;201105;2.19E+06
;34;;15;P;1+;B-;100.00;0.0000;5.374;12.43 S 8;;-24.5480;0.0000;;200103;1.24E+01
;35;;15;P;1/2+;B-;100.00;0.0000;3.989;47.3 S 7;;-24.8570;0.0010;;200103;4.73E+01
;36;;15;P;4-;B-;100.00;0.0000;10.413;5.6 S 3;;-20.2510;0.0130;;200103;5.60E+00
;37;;15;P;;B-;100.00;0.0000;7.902;2.31 S 13;;-18.9950;0.0370;;200103;2.31E+00
;38;;15;P;(0-:4-);B-;100.00;0.0000;12.103;0.64 S 14;;-14.6420;0.0710;;200802;6.40E-01
;38;;15;P;(0-:4-);BN;12.00;0.0000;4.067;0.64 S 14;;-14.6420;0.0710;;200802;6.40E-01
;39;;15;P;(1/2+);B-;100.00;0.0000;10.289;0.28 S 4;;-12.7950;0.0810;;200602;2.80E-01
;39;;15;P;(1/2+);BN;26.00;0.0000;5.916;0.28 S 4;;-12.7950;0.0810;;200602;2.80E-01
;40;;15;P;(2-,3-);B-;100.00;0.0000;14.760;125 MS 25;;-8.0740;0.1110;;04GR20;1.25E-01
;40;;15;P;(2-,3-);BN;15.80;0.0000;6.984;125 MS 25;;-8.0740;0.1110;;04GR20;1.25E-01
;41;;15;P;(1/2+);B-;100.00;0.0000;13.743;100 MS 5;;-4.9790;0.0800;;200710;1.00E-01
;41;;15;P;(1/2+);BN;30.00;0.0000;9.519;100 MS 5;;-4.9790;0.0800;;200710;1.00E-01
;42;;15;P;;B-;100.00;0.0000;18.616;48.5 MS 15;;1.0090;0.2090;;04GR20;4.85E-02
;42;;15;P;;BN;50.00;0.0000;11.887;48.5 MS 15;;1.0090;0.2090;;04GR20;4.85E-02
;43;;15;P;(1/2+);B-;100.00;0.0000;17.731;36.5 MS 15;;4.6790;0.3690;;200612;3.65E-02
;43;;15;P;(1/2+);BN;100.00;0.0000;15.372;36.5 MS 15;;4.6790;0.3690;;200612;3.65E-02
;44;;15;P;;B-;;0.0000;21.216;18.5 MS 25;;10.4420;0.8010;S;200710;1.85E-02
;44;;15;P;;BN;;0.0000;15.994;18.5 MS 25;;10.4420;0.8010;S;200710;1.85E-02
;45;;15;P;;B-;;0.0000;21.156;200 NS GT;;15.3230;0.8010;S;200802;2.00E-07
;46;;15;P;;B-;100.00;0.0000;24.806;200 NS GT;;22.7840;0.8010;S;200011;2.00E-07
;47;;15;P;;;;;0.000;;;29.2400;0.9040;S;;0.00E+00
;26;;16;S;0+;2P;?;0.0000;0.637;79 NS LT;;27.0790;0.5960;S;11FO08;7.90E-08
;27;;16;S;(5/2+);EC;100.00;0.0000;18.260;15.5 MS 15;;17.0340;0.4010;S;201108;1.55E-02
;27;;16;S;(5/2+);EP;2.30;0.0000;17.399;15.5 MS 15;;17.0340;0.4010;S;201108;1.55E-02
;27;;16;S;(5/2+);E2P;1.10;0.0000;11.840;15.5 MS 15;;17.0340;0.4010;S;201108;1.55E-02
;28;;16;S;0+;EC;100.00;0.0000;11.232;125 MS 10;;4.0730;0.1600;;200612;1.25E-01
;28;;16;S;0+;EP;20.70;0.0000;9.169;125 MS 10;;4.0730;0.1600;;200612;1.25E-01
;29;;16;S;5/2+;EC;100.00;0.0000;13.793;187 MS 4;;-3.1570;0.0500;;200103;1.87E-01
;29;;16;S;5/2+;EP;47.00;0.0000;11.044;187 MS 4;;-3.1570;0.0500;;200103;1.87E-01
;30;;16;S;0+;EC;100.00;0.0000;6.138;1.178 S 5;;-14.0620;0.0030;;201009;1.18E+00
;31;;16;S;1/2+;EC;100.00;0.0000;5.396;2.572 S 13;;-19.0430;0.0000;;200103;2.57E+00
;32;;16;S;0+;;;0.0000;0.000;STABLE;94.99% 26;-26.0155;0.0000;;200404;0.00E+00
;33;;16;S;3/2+;;;0.0000;0.000;STABLE;0.75% 2;-26.5859;0.0000;;201105;0.00E+00
;34;;16;S;0+;;;0.0000;0.000;STABLE;4.25% 24;-29.9310;0.0000;;200103;0.00E+00
;35;;16;S;3/2+;B-;100.00;0.0000;0.167;87.37 D 4;;-28.8460;0.0000;;200103;7.55E+06
;36;;16;S;0+;;;0.0000;0.000;STABLE;0.01% 1;-30.6640;0.0000;;200103;0.00E+00
;37;;16;S;7/2-;B-;100.00;0.0000;4.865;5.05 M 2;;-26.8960;0.0000;;200103;3.03E+02
;38;;16;S;0+;B-;100.00;0.0000;2.937;170.3 M 7;;-26.8610;0.0070;;200802;1.02E+04
;39;;16;S;(7/2)-;B-;100.00;0.0000;6.638;11.5 S 5;;-23.1620;0.0500;;200602;1.15E+01
;40;;16;S;0+;B-;100.00;0.0000;4.691;8.8 S 22;;-22.9300;0.1130;;200408;8.80E+00
;41;;16;S;(7/2-);B-;100.00;0.0000;8.288;1.99 S 5;;-19.0880;0.0610;;200201;1.99E+00
;41;;16;S;(7/2-);BN;;0.0000;0.467;1.99 S 5;;-19.0880;0.0610;;200201;1.99E+00
;42;;16;S;0+;B-;100.00;0.0000;7.235;1.03 S 3;;-17.6770;0.1240;;06WI10;1.03E+00
;43;;16;S;;B-;100.00;0.0000;12.203;0.28 S 3;;-12.0700;0.0990;;04GR20;2.80E-01
;43;;16;S;;BN;40.00;0.0000;4.876;0.28 S 3;;-12.0700;0.0990;;04GR20;2.80E-01
;44;;16;S;0+;B-;100.00;0.0000;11.115;100 MS 1;;-9.0990;0.1390;;200710;1.00E-01
;44;;16;S;0+;BN;18.00;0.0000;6.981;100 MS 1;;-9.0990;0.1390;;200710;1.00E-01
;45;;16;S;;B-;100.00;0.0000;15.110;68 MS 2;;-3.9890;0.6900;;200802;6.80E-02
;45;;16;S;;BN;54.00;0.0000;8.907;68 MS 2;;-3.9890;0.6900;;200802;6.80E-02
;46;;16;S;0+;B-;100.00;0.0000;15.407;50 MS 8;;0.0370;0.8010;S;201001;5.00E-02
;47;;16;S;;;;;0.000;;;7.4050;0.8010;S;;0.00E+00
;48;;16;S;0+;B-;;0.0000;17.903;200 NS GE;;12.7610;0.9040;S;Work04;2.00E-07
;49;;16;S;;N;;0.0000;0.730;200 NS LT;;21.2030;0.9520;S;971209;2.00E-07
;28;;17;Cl;(1+);P;?;0.0000;1.725;;;27.5160;0.5960;S;;0.00E+00
;29;;17;Cl;(3/2+);P;;0.0000;1.781;20 NS LT;;13.7670;0.4010;S;200103;2.00E-08
;30;;17;Cl;(3+);P;;0.0000;0.314;30 NS LT;;4.4430;0.1960;S;201009;3.00E-08
;31;;17;Cl;;EC;100.00;0.0000;11.977;150 MS 25;;-7.0660;0.0500;;200103;1.50E-01
;31;;17;Cl;;EP;0.70;0.0000;5.844;150 MS 25;;-7.0660;0.0500;;200103;1.50E-01
;32;;17;Cl;1+;EC;100.00;0.0000;12.686;298 MS 1;;-13.3350;0.0000;;200103;2.98E-01
;32;;17;Cl;1+;EA;0.05;0.0000;5.737;298 MS 1;;-13.3350;0.0000;;200103;2.98E-01
